reference,category,type,subject,date,notifying_country,classification,risk_decision
"2020.5868","food contact materials","food contact material","Migration of formaldehyde and melamine from melamine plates from China","18-12-2020 13:16:31","Germany","information notification for follow-up","undecided"
"2020.5867","dietetic foods, food supplements and fortified foods","food","DMAA in food supplements from the United States, via Estonia","18-12-2020 13:05:06","Germany","alert notification","undecided"
"2020.5804","pet food","feed","too high count of Enterobacteriaceae in dog chews from China","18-12-2020 13:01:57","Sweden","information notification for attention","not serious"
"2020.5866","herbs and spices","food","Ethylene oxide in sesame seeds","18-12-2020 12:59:29","United Kingdom","alert notification","serious"
"2020.5865","soups, broths, sauces and condiments","food","Unauthorized sulphites in hot chilli sauce from the USA via the Czech Republic","18-12-2020 12:57:40","Slovakia","information notification for follow-up","serious"
"2020.5863","nuts, nut products and seeds","food","aflatoxins in sunflower seeds","18-12-2020 12:41:35","Poland","border rejection notification","serious"
"2020.5859","fish and products thereof ","food","Parasite (anisakis) - Dos de cabillaud","18-12-2020 11:55:02","France","information notification for follow-up","not serious"
"2020.5858","herbs and spices","food","PAHs and Benzo (a) pyrene in ground cinnamon","18-12-2020 11:47:54","Poland","alert notification","serious"
"2020.5857","cocoa and cocoa preparations, coffee and tea","food","Missing allergen labeling on fruit tea from Germany","18-12-2020 11:45:57","Germany","alert notification","serious"
"2020.5856","confectionery","food","too high content of trans fatty acids in candies from Ukraine","18-12-2020 10:57:32","Lithuania","information notification for attention","not serious"
"2020.5854","fish and products thereof ","food","mercurio in filoni di pesce spada decongelato trasformato","18-12-2020 10:27:46","Italy","alert notification","serious"
"2020.5367","fruits and vegetables","food","High content of carbendazim in white dragon fruit from Thailand","18-12-2020 09:48:34","Germany","information notification for attention","serious"
"2020.5853","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","18-12-2020 09:45:12","Netherlands","information notification for attention","serious"
"2020.5850","nuts, nut products and seeds","food","unauthorised substance ethylene oxide in hulled sesame seeds from India, via Germany","17-12-2020 18:11:29","Germany","alert notification","serious"
"2020.5848","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","17-12-2020 17:49:51","Netherlands","alert notification","serious"
"2020.5847","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","17-12-2020 17:46:15","Netherlands","alert notification","serious"
"2020.5846","nuts, nut products and seeds","food","Unauthorized substance ethylene oxide in hulled sesame seeds","17-12-2020 17:43:24","Czech Republic","alert notification","serious"
"2020.5845","fish and products thereof ","food","plastic fragment in canned tuna in sunflower oil from Tunisia","17-12-2020 17:42:52","France","information notification for attention","serious"
"2020.5844","dietetic foods, food supplements and fortified foods","food","Marketing of supplment \"Pancreatin 1300mgr\" containing pharmacologically active substance.","17-12-2020 17:37:08","Spain","alert notification","undecided"
"2020.5843","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","17-12-2020 17:32:03","Netherlands","alert notification","serious"
"2020.5842","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","17-12-2020 17:28:29","Netherlands","alert notification","serious"
"2020.5841","crustaceans and products thereof","food","no use-by date on cooked shrimp","17-12-2020 17:26:22","France","alert notification","serious"
"2020.5840","nuts, nut products and seeds","food","unauthorised substance ethylene oxide in sesame seeds from India","17-12-2020 17:25:48","Netherlands","alert notification","serious"
"2020.5838","cereals and bakery products","food","Toxic weed seeds contamination in oat-flakes from Poland","17-12-2020 17:11:26","Hungary","alert notification","serious"
"2020.5837","poultry meat and poultry meat products","food","Missing BBD on whole chicken from France","17-12-2020 16:59:16","Netherlands","alert notification","serious"
"2020.5836","nuts, nut products and seeds","food","unauthorised substance ethylene oxide in sesame seeds from India","17-12-2020 16:55:58","Netherlands","alert notification","serious"
"2020.5834","fish and products thereof ","food","High level of Ascorbic acid (E 300) in prepared defrosted yellow fin tuna loins from Spain ","17-12-2020 15:31:05","Italy","information notification for attention","not serious"
"2020.5832","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","17-12-2020 15:27:17","Netherlands","alert notification","serious"
"2020.5831","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","17-12-2020 15:21:56","Netherlands","alert notification","serious"
"2020.5830","soups, broths, sauces and condiments","food","Undeclared mustard in Horseradish Relish ","17-12-2020 15:05:49","United Kingdom","alert notification","serious"
"2020.5829","other food product / mixed","food","Chlorpyrifos in dried Black Fungus mushrooms from Vietnam.","17-12-2020 14:52:21","Germany","information notification for attention","serious"
"2020.5827","milk and milk products","food","L. monocytogenes in cheese","17-12-2020 14:36:43","Netherlands","alert notification","serious"
"2020.5824","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","17-12-2020 14:12:20","Netherlands","alert notification","serious"
"2020.5823","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","17-12-2020 14:12:11","Netherlands","alert notification","serious"
"2020.5822","nuts, nut products and seeds","food","unauthorised substance ethylene oxide in sesame seeds from India","17-12-2020 13:32:50","Netherlands","alert notification","serious"
"2020.5821","poultry meat and poultry meat products","food","Salmonella Enteritidis - chicken carcass from Poland","17-12-2020 13:31:19","Poland","alert notification","serious"
"2020.5818","nuts, nut products and seeds","food","unauthorized substance ethylene oxide in sesame seeds from India","17-12-2020 13:02:15","Spain","border rejection notification","serious"
"2020.5817","nuts, nut products and seeds","food","Organic black sesame with ethylene oxide","17-12-2020 12:40:05","Denmark","alert notification","serious"
"2020.5816","nuts, nut products and seeds","food","aflatoxins in blanched organic groundnut kernels from Egypt","17-12-2020 12:17:34","Germany","border rejection notification","serious"
"2020.5812","meat and meat products (other than poultry)","food","Salmonella enterica ser. enteritidis in frozen beef from UK via Belgium","17-12-2020 09:15:02","Czech Republic","alert notification","undecided"
"2020.5811","fruits and vegetables","food","Pesticides residues in Fresh LEMON","17-12-2020 09:04:25","Romania","border rejection notification","no risk"
"2020.5810","fruits and vegetables","food","Aflatoxins in dried figs from Turkey","17-12-2020 08:52:10","Germany","border rejection notification","serious"
"2020.5809","fruits and vegetables","food","Pesticides residues in Fresh Grapefruit","17-12-2020 08:50:42","Romania","border rejection notification","serious"
"2020.5808","fruits and vegetables","food","too high content of sulphites in dried apricots from Turkey","16-12-2020 17:52:28","Slovakia","information notification for follow-up","undecided"
"2020.5807","dietetic foods, food supplements and fortified foods","food","yohimbine in food suplement","16-12-2020 17:22:53","Poland","alert notification","serious"
"2020.5806","milk and milk products","food","Listeria monocytogenes <10 UFC/g in French cheese made from raw goat milk","16-12-2020 17:19:59","France","alert notification","serious"
"2020.5805","food contact materials","food contact material","migration of melamine from plastic plates","16-12-2020 17:15:25","Belgium","alert notification","undecided"
"2020.5803","feed materials","feed","Rye ergot (Claviceps purpurea) in rye from Germany","16-12-2020 16:44:59","Austria","alert notification","serious"
"2020.5802","fruits and vegetables","food","Pesticide residue Dodine above MRL in pears from the Netherlands","16-12-2020 16:07:55","Norway","alert notification","serious"
"2020.5801","fruits and vegetables","food","Norovirus GI in raspberries","16-12-2020 15:20:08","Czech Republic","alert notification","undecided"
"2020.5800","poultry meat and poultry meat products","food","Salmonella in minced meat chicken","16-12-2020 15:19:35","Netherlands","information notification for attention","serious"
"2020.5799","dietetic foods, food supplements and fortified foods","food","High content of 2-phenylethylamin in food supplement ","16-12-2020 15:10:07","Czech Republic","information notification for attention","undecided"
"2020.5798","nuts, nut products and seeds","food","Ethylene Oxide in Sesame Seeds","16-12-2020 14:57:52","United Kingdom","alert notification","serious"
"2020.5797","cereals and bakery products","food","ethylene oxide in bakery mix from Germany","16-12-2020 14:45:13","Poland","information notification for follow-up","serious"
"2020.5795","fruits and vegetables","food","Unauthorised substance chlorpyrifos-methyl in fresh lemons from Turkey","16-12-2020 14:05:17","Bulgaria","border rejection notification","undecided"
"2020.5794","fruits and vegetables","food","Pesticide residue in fresh lemon from Turkey","16-12-2020 13:37:14","Croatia","border rejection notification","undecided"
"2020.5792","nuts, nut products and seeds","food","aflatoxins in groundnut kernels from the United States","16-12-2020 10:38:21","Bulgaria","border rejection notification","serious"
"2020.5791","fats and oils","food","Glycidyl fatty acid esters in vegetable oil","16-12-2020 10:36:08","Sweden","information notification for attention","serious"
"2020.5790","dietetic foods, food supplements and fortified foods","food","Zeolite (Clinoptilolite) i kosttillskott från Sverige // unauthorised novel food ingredient zeolite in food supplements from Sweden","16-12-2020 10:24:28","Sweden","information notification for follow-up","undecided"
"2020.5789","herbs and spices","food","Cadmium in garlic","16-12-2020 10:20:00","Netherlands","alert notification","serious"
"2020.5787","food additives and flavourings","food","Undeclared mustard in Wasabi powder from Malaysia","15-12-2020 18:05:25","Hungary","alert notification","serious"
"2020.5786","fruits and vegetables","food","too high level of cadmium in garlic from China","15-12-2020 18:03:22","Netherlands","information notification for attention","undecided"
"2020.5784","cereals and bakery products","food","Ethylene oxyde in sesame seeds","15-12-2020 17:34:29","Luxembourg","alert notification","serious"
"2020.5783","cereals and bakery products","food","Ethylene oxyde in sesame seeds","15-12-2020 17:32:13","Luxembourg","alert notification","serious"
"2020.5782","fish and products thereof ","food","Foreign object in glass package with peeled shrimps ","15-12-2020 17:27:42","Sweden","alert notification","serious"
"2020.5781","herbs and spices","food","PAH4 in Maca Extract","15-12-2020 17:24:43","Netherlands","information notification for attention","serious"
"2020.5780","nuts, nut products and seeds","food","unauthorised substance ethylene oxide in in sesame seeds unhulled from Nigeria","15-12-2020 17:17:30","Germany","alert notification","serious"
"2020.5779","other food product / mixed","food","E 127 in Okara Denbu, Seasoning for Sushi","15-12-2020 17:09:58","Sweden","information notification for follow-up","not serious"
"2020.5777","nuts, nut products and seeds","food","Unauthorized substance ethylene oxide in sesame seeds from India","15-12-2020 17:03:37","Czech Republic","alert notification","serious"
"2020.5776","fish and products thereof ","food","acido ascorbico in tonno decongelato ","15-12-2020 17:00:14","Italy","information notification for attention","not serious"
"2020.5773","prepared dishes and snacks","food","Undeclared milk in M&S Red Thai Chicken Curry","15-12-2020 16:46:17","United Kingdom","alert notification","serious"
"2020.5772","fish and products thereof ","food contact material","Salmonella detected in Fish Maws","15-12-2020 16:36:39","United Kingdom","information notification for attention","undecided"
"2020.5769","poultry meat and poultry meat products","food","salmonella in ali di pollo congelate //Salmonella enterica ser. Infantis in frozen chicken wings from Poland","15-12-2020 15:47:49","Italy","information notification for follow-up","not serious"
"2020.5768","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","15-12-2020 15:43:47","Netherlands","alert notification","serious"
"2020.5767","fruits and vegetables","food","Aflatoxins in dried organic figs from Turkey","15-12-2020 15:28:19","Sweden","border rejection notification","serious"
"2020.5766","nuts, nut products and seeds","food","Unauthorized substance ethylene oxide in sesame seeds","15-12-2020 15:28:08","Czech Republic","alert notification","serious"
"2020.5764","food contact materials","food contact material","Migration of lead from plates with floral decoration from China","15-12-2020 14:45:54","Germany","alert notification","serious"
"2020.5763","fruits and vegetables","food","Unauthorised substance chlorpyrifos-methyl in fresh peppers from Turkey","15-12-2020 14:29:31","Bulgaria","border rejection notification","undecided"
"2020.5762","fish and products thereof ","food","Histologic lesions due to freezing in perch of the nile fillets","15-12-2020 14:23:33","Italy","border rejection notification","not serious"
"2020.5761","nuts, nut products and seeds","food","Unauthorized substance ethylene oxide in hulled sesame seeds","15-12-2020 13:58:38","Czech Republic","alert notification","serious"
"2020.5760","cereals and bakery products","food","PRESENZA DI RESIDUI FITOSANITARI (TETRAMETRINA) IN RISO CARNAROLI CLASSICO INTEGRALE","15-12-2020 13:44:00","Italy","information notification for follow-up","undecided"
"2020.5759","bivalve molluscs and products thereof","food","Salmonella spp in clam meat","15-12-2020 13:31:13","Portugal","information notification for attention","serious"
"2020.5757","fruits and vegetables","food","Fresh pepper","15-12-2020 13:04:11","Bulgaria","border rejection notification","undecided"
"2020.5756","nuts, nut products and seeds","food","Unauthorized substance ethylene oxide in sesame seeds from India","15-12-2020 13:00:30","Germany","alert notification","serious"
"2020.5754","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","15-12-2020 12:23:51","Netherlands","alert notification","serious"
"2020.5753","nuts, nut products and seeds","food","Non-compliant identity check of roasted hazelnuts from Turkey","15-12-2020 12:09:37","Czech Republic","border rejection notification","undecided"
"2020.5752","compound feeds","feed","PRESENCE OF RUMINANT DNA IN FISH FEED FROM SPAIN","15-12-2020 12:07:50","Cyprus","information notification for follow-up","not serious"
"2020.5750","nuts, nut products and seeds","food","Aflatoxins in pistachios from US","15-12-2020 11:51:39","Belgium","alert notification","serious"
"2020.5748","cereals and bakery products","food","Ossido di etilene in Sesamo Crackers DITTA VERDUIJN’S","15-12-2020 11:11:06","Italy","alert notification","serious"
"2020.5746","cereals and bakery products","food","Brown Rice Noodles rejected due to GMOs","14-12-2020 18:12:30","United Kingdom","border rejection notification","undecided"
"2020.5745","cereals and bakery products","food","Brown Rice Noodles rejected due to GMO","14-12-2020 17:58:11","United Kingdom","border rejection notification","undecided"
"2020.5744","cereals and bakery products","food","Black Rice Noodles from China positive for GMO","14-12-2020 17:42:26","United Kingdom","border rejection notification","undecided"
"2020.5743","nuts, nut products and seeds","food","UNAUTHORISED SUBSTANCE (ETHYLENE OXIDE) IN SEVERAL PRODUCTS FROM SPAIN, MADE FROM SESAME SEEDS FROM INDIA ","14-12-2020 17:19:24","Spain","alert notification","serious"
"2020.5742","nuts, nut products and seeds","food","unauthorised substance ethylene oxide in sesame seeds from India ","14-12-2020 17:01:54","Czech Republic","alert notification","serious"
"2020.5740","meat and meat products (other than poultry)","food","E.coli STEC (eae+, Stx1+, Stx2+) in beef","14-12-2020 16:58:28","Belgium","alert notification","serious"
"2020.5738","confectionery","food","too high content of trans fatty acids in waffles from Ukraine","14-12-2020 16:48:01","Lithuania","information notification for attention","not serious"
"2020.5737","meat and meat products (other than poultry)","food","ETHYLENE OXIDE IN SESAME SEEDS USED AS AN INGREDIENT IN MINI-BURGERS FROM FRANCE ","14-12-2020 16:33:44","Spain","alert notification","undecided"
"2020.5736","dietetic foods, food supplements and fortified foods","food","Sildenafil in food suplement","14-12-2020 16:24:58","Poland","alert notification","serious"
"2020.5735","fruits and vegetables","food"," Aflatoxins in dried figs from Turkey ","14-12-2020 15:55:55","Belgium","border rejection notification","serious"
"2020.5729","poultry meat and poultry meat products","food","Salmonella Infantis bacteria in 5 out of 5 samples taken from poultry components.","14-12-2020 12:33:48","Poland","information notification for attention","not serious"
"2020.5728","other food product / mixed","food","Listeria Monocytogenes in pesto from Belgium","14-12-2020 12:31:34","Netherlands","alert notification","serious"
"2020.5726","cereals and bakery products","food","Unauthorised substance tricyclazole in jasmine rice from Vietnam, via Denmark","14-12-2020 12:10:32","Norway","information notification for follow-up","undecided"
"2020.5725","nuts, nut products and seeds","food","presence of ethylene oxide sesame seeds origin India","14-12-2020 11:23:13","Romania","information notification for attention","serious"
"2020.5723","nuts, nut products and seeds","food","Ethylene oxide in sesame seeds hulled from India","14-12-2020 10:35:13","Germany","information notification for attention","serious"
"2020.5722","fruits and vegetables","food","Pirimifos-metile in farina di ceci","14-12-2020 10:01:17","Italy","information notification for follow-up","not serious"
"2020.5720","fruits and vegetables","food","fresh lemons ","14-12-2020 09:55:57","Bulgaria","border rejection notification","serious"
"2020.5718","fruits and vegetables","food","Fresh peppers","14-12-2020 08:35:01","Bulgaria","border rejection notification","undecided"
"2020.5713","cereals and bakery products","food","Ethylene oxide in Sfilatini al sesamo unauthorised substance ethylene oxide in sesame seeds used ","11-12-2020 19:49:31","Italy","alert notification","serious"
"2020.5712","feed materials","feed","unauthorised substance matrine in organic feed for dairy cattle from The Netherlands","11-12-2020 19:31:50","Belgium","information notification for follow-up","not serious"
"2020.5711","pet food","feed","Salmonella spp. in dog chews from Poland","11-12-2020 17:59:56","Germany","alert notification","serious"
"2020.5710","soups, broths, sauces and condiments","food","Allergen \"sesame\" not mentioned on the label fresh wok sauce ","11-12-2020 17:09:35","Belgium","alert notification","serious"
"2020.5709","meat and meat products (other than poultry)","food","STEC cow carcass","11-12-2020 16:24:49","Belgium","alert notification","serious"
"2020.5707","confectionery","food","Fremdkörper in Bio-Schokostäbchen aus Frankreich /// Foreign body in organic chocolate sticks from France","11-12-2020 16:12:26","Germany","information notification for follow-up","not serious"
"2020.5706","poultry meat and poultry meat products","food","Salmonella enterica ser. Typhimurium in chilled chicken meat from France","11-12-2020 16:11:53","France","information notification for attention","serious"
"2020.5705","poultry meat and poultry meat products","food","Salmonella spp. turkey minced meat from Poland","11-12-2020 16:09:11","Poland","information notification for attention","serious"
"2020.5704","pet food","feed","Chlorpyrifos (0,039 mg/kg) in feed for the budgerigar, manufactured in Poland","11-12-2020 15:54:25","Poland","information notification for follow-up","undecided"
"2020.5703","fruits and vegetables","food","Aflatoxins in dried figs from Turkey","11-12-2020 15:46:08","Germany","border rejection notification","serious"
"2020.5700","food contact materials","food contact material","migration of arsenic and lead from cramik shells from spain","11-12-2020 14:45:13","Germany","alert notification","serious"
"2020.5699","dietetic foods, food supplements and fortified foods","food","Salmonella spp. in food supplements from India","11-12-2020 14:43:41","Germany","alert notification","serious"
"2020.5698","nuts, nut products and seeds","food","Aflatoxins in pistachios from Turkey ","11-12-2020 14:27:05","Germany","border rejection notification","serious"
"2020.5697","cereals and bakery products","food","Risk of metal pieces in cornflakes","11-12-2020 14:19:11","Denmark","alert notification","serious"
"2020.5696","cereals and bakery products","food","Atropin und Scopolamin in gemahlener wilder Braunhirse aus Deutschland /// Atropine and scopolamine in ground wild brown millet from Germany","11-12-2020 14:16:18","Germany","information notification for follow-up","undecided"
"2020.5695","cereals and bakery products","food","ETHYLENE OXIDE IN SESAME SEEDS FROM INDIA USED IN BAKERY PRODUCTS FROM SPAIN","11-12-2020 14:07:10","Spain","alert notification","serious"
"2020.5694","nuts, nut products and seeds","food","unauthorised substance ethylene oxide in sesame seeds from India, via the Netherlands","11-12-2020 13:18:46","Germany","alert notification","serious"
"2020.5693","fruits and vegetables","food","Aflatoxins in dried figs from Turkey","11-12-2020 12:55:36","Germany","border rejection notification","serious"
"2020.5692","prepared dishes and snacks","food","Ethylene oxide in sesame on pastry sticks from Bosnia and Herzegovina","11-12-2020 12:32:17","Germany","alert notification","serious"
"2020.5691","nuts, nut products and seeds","food","Aflatoxins in pistachios from Turkey","11-12-2020 12:13:14","Germany","border rejection notification","serious"
"2020.5690","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","11-12-2020 11:15:28","Netherlands","information notification for attention","serious"
"2020.5688","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","11-12-2020 10:22:32","Netherlands","alert notification","serious"
"2020.5687","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","11-12-2020 10:13:32","Netherlands","alert notification","serious"
"2020.5686","fruits and vegetables","food","FRESH PEPPER","11-12-2020 07:49:52","Bulgaria","border rejection notification","undecided"
"2020.5685","fruits and vegetables","food","FRESH PEPPERS ","11-12-2020 07:46:17","Bulgaria","border rejection notification","undecided"
"2020.5684","fruits and vegetables","food","POMEGRANATES","11-12-2020 07:39:38","Bulgaria","border rejection notification","serious"
"2020.5683","soups, broths, sauces and condiments","food","2-Chloroethanol in sesame sauce from Germany","10-12-2020 19:04:17","Germany","alert notification","serious"
"2020.5682","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","10-12-2020 17:40:22","Netherlands","alert notification","serious"
"2020.5681","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","10-12-2020 17:40:21","Netherlands","alert notification","serious"
"2020.5680","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","10-12-2020 17:34:55","Netherlands","alert notification","serious"
"2020.5679","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","10-12-2020 17:33:21","Netherlands","alert notification","serious"
"2020.5678","nuts, nut products and seeds","food","Ethylene oxide in sesame seeds from India","10-12-2020 17:31:07","Netherlands","alert notification","serious"
"2020.5677","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","10-12-2020 17:29:23","Netherlands","alert notification","serious"
"2020.5676","pet food","feed","Salmonellen der Gruppe B in Hundekauartikel aus Deutschland /// Salmonella group B in dog chews from Germany","10-12-2020 17:26:58","Germany","alert notification","undecided"
"2020.5675","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","10-12-2020 17:22:51","Netherlands","alert notification","serious"
"2020.5674","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","10-12-2020 17:20:35","Netherlands","alert notification","serious"
"2020.5673","nuts, nut products and seeds","food","ethylene oxide in sesame seeds from India","10-12-2020 17:18:11","Netherlands","alert notification","serious"
"2020.5672","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","10-12-2020 17:16:50","Netherlands","alert notification","serious"
"2020.5671","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","10-12-2020 17:15:15","Netherlands","alert notification","serious"
"2020.5670","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","10-12-2020 17:03:03","Netherlands","alert notification","serious"
"2020.5669","feed materials","feed","Salmonella Agona in rapeseed cake","10-12-2020 16:56:49","Belgium","information notification for follow-up","not serious"
"2020.5666","cereals and bakery products","food","Acrylamide in biscuits from Nord Macedonia","10-12-2020 15:16:36","Croatia","information notification for attention","serious"
"2020.5665","feed materials","feed","Salmonella Infantis in frozen chicken necks","10-12-2020 15:09:35","Belgium","information notification for follow-up","not serious"
"2020.5664","nuts, nut products and seeds","food","Aflatoxins (B1 = 38,1 µg/kg - ppb; Tot. = 44,9 µg/kg - ppb) in groundnut from Vietnam.","10-12-2020 14:54:00","Finland","border rejection notification","serious"
"2020.5663","other food product / mixed","food","Allergens not declared in English in various products from Picard, France","10-12-2020 14:40:31","United Kingdom","alert notification","serious"
"2020.5661","poultry meat and poultry meat products","food","Salmonella Enteritidis detected in chicken neck skins from Poland","10-12-2020 14:20:10","Poland","alert notification","serious"
"2020.5660","poultry meat and poultry meat products","food","Salmonella spp. in chicken elements from Poland","10-12-2020 14:05:11","Poland","information notification for attention","not serious"
"2020.5659","crustaceans and products thereof","food","Salmonella in North Sea shrimps unpeeled and cooked","10-12-2020 13:18:54","Netherlands","information notification for attention","serious"
"2020.5625","confectionery","food","Incorrect expiry date and undeclared allergen (milk) on Pauline Macarons Strawberry-Pistachio-Chocolate 108g.","10-12-2020 12:35:08","United Kingdom","alert notification","serious"
"2020.5655","confectionery","food","acrylamide in crackers from Latvia","10-12-2020 11:08:35","Lithuania","information notification for follow-up","undecided"
"2020.5652","eggs and egg products","food","Salmonella Coeln in white hen shell eggs from Ukraine","10-12-2020 08:34:51","Latvia","border rejection notification","serious"
"2020.5651","cereals and bakery products","food","UNAUTHORISED SUBSTANCE (ETHYLENE OXIDE) IN SESAME SEEDS AND IN MUESLI MADE IN SPAIN FROM SESAME SEEDS FROM INDIA","09-12-2020 17:54:39","Spain","alert notification","serious"
"2020.5650","nuts, nut products and seeds","food","Ethylenoxid in Sesamsamen aus Indien /// Ethylene oxide in organic sesame seeds from India","09-12-2020 17:35:03","Germany","alert notification","serious"
"2020.5649","fish and products thereof ","food","Poor temperature control of frozen tuna.","09-12-2020 17:29:04","Spain","border rejection notification","not serious"
"2020.5648","poultry meat and poultry meat products","food","Salmonella Enteritidis chicken elements from Poland","09-12-2020 17:08:25","Poland","information notification for attention","serious"
"2020.5646","fats and oils","food","Ethylenoxid in Bio-Sesamöl aus Deutschland; hergestellt in Italien /// Ethylene oxide in organic sesame oil from Germany, produced in Italy","09-12-2020 16:28:24","Germany","alert notification","serious"
"2020.5643","nuts, nut products and seeds","food","Ethylenoxid in Sesamsaat geschält aus Indien /// Ethylene oxide in hulled sesame seed from India","09-12-2020 15:44:14","Germany","alert notification","serious"
"2020.5641","fruits and vegetables","food","Border rejection - Cesium 137 in mushroom gray fox","09-12-2020 15:31:27","Croatia","border rejection notification","serious"
"2020.5640","feed materials","feed","Salmonellen in Sojaschrot /// Salmonella in soybean meal","09-12-2020 15:13:58","Germany","information notification for follow-up","not serious"
"2020.5639","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","09-12-2020 15:11:55","Netherlands","alert notification","serious"
"2020.5638","nuts, nut products and seeds","food","Aflatoxine in Pistazien aus der Türkei /// Aflatoxins in pistachios from Turkey ","09-12-2020 14:29:04","Germany","border rejection notification","serious"
"2020.5637","nuts, nut products and seeds","food","Aflatoxins in Pistachios from Turkey","09-12-2020 14:03:04","Germany","border rejection notification","serious"
"2020.5636","fruits and vegetables","food","Fresh pepper","09-12-2020 14:02:24","Bulgaria","border rejection notification","undecided"
"2020.5635","nuts, nut products and seeds","food","Aflatoxine in Pistazien aus der Türkei /// Aflatoxins in pistachios from Turkey","09-12-2020 13:50:50","Germany","border rejection notification","serious"
"2020.5634","cereals and bakery products","food","Biscotti","09-12-2020 11:44:40","Italy","border rejection notification","not serious"
"2020.5633","fruits and vegetables","food","fresh lemons ","09-12-2020 10:52:52","Bulgaria","border rejection notification","undecided"
"2020.5632","fruits and vegetables","food","Fresh pepper","09-12-2020 10:31:07","Bulgaria","border rejection notification","serious"
"2020.5631","cereals and bakery products","food","Banku Mix from Ghana Aflatoxin Contamination","09-12-2020 10:20:23","United Kingdom","border rejection notification","undecided"
"2020.5630","herbs and spices","food","Chillies","09-12-2020 07:52:41","Italy","border rejection notification","serious"
"2020.5629","poultry meat and poultry meat products","food","Salmonella in frozen chicken doner from Netherlands ","08-12-2020 18:42:47","Netherlands","alert notification","serious"
"2020.5628","nuts, nut products and seeds","food","unauthorised substance ethylene oxide in hulled sesame seeds from India","08-12-2020 17:57:14","Germany","information notification for attention","serious"
"2020.5627","poultry meat and poultry meat products","food","Salmonella Enteritidis chicken elements from Poland","08-12-2020 17:51:18","Poland","information notification for attention","serious"
"2020.5623","fish and products thereof ","food","Malachite green in Red-tailed Tinfoil Barb from Vietnam","08-12-2020 16:59:30","Sweden","alert notification","serious"
"2020.5621","cereals and bakery products","food","unauthorised substance ethylene oxide in sesame seeds used in bakery products","08-12-2020 16:46:19","Czech Republic","alert notification","serious"
"2020.5619","fruits and vegetables","food","cadmium in frozen garlic cubes","08-12-2020 16:21:22","Belgium","information notification for follow-up","undecided"
"2020.5618","prepared dishes and snacks","food","Nicht zugelassene Substanz Ethylenoxid in Sesamsamen, verwendet in Käse-Gebäck aus den Niederlanden ///  unauthorised substance ethylene oxide in sesame seeds, used in cheese crackers from the Netherlands","08-12-2020 16:01:20","Germany","information notification for follow-up","undecided"
"2020.5617","confectionery","food","acrylamide in cookies from Ukraine","08-12-2020 15:53:25","Lithuania","information notification for attention","undecided"
"2020.5616","poultry meat and poultry meat products","food","Salmonella Infantis in fresh chicken breast fillet from Poland","08-12-2020 15:51:57","Hungary","information notification for attention","not serious"
"2020.5615","nuts, nut products and seeds","food"," presence of ethylene oxide sesame seeds (in Croco Crackers susan )","08-12-2020 15:34:50","Romania","alert notification","serious"
"2020.5612","meat and meat products (other than poultry)","food","Listeria monocytogenes in pork meat","08-12-2020 14:56:35","Poland","alert notification","serious"
"2020.5611","alcoholic beverages","food","Burns in the mouth from the consumption of beer from Belgium ","08-12-2020 12:35:24","Spain","alert notification","serious"
"2020.5610","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","08-12-2020 12:02:46","Portugal","alert notification","serious"
"2020.5609","crustaceans and products thereof","food","attempt to illegally import smoked prawns and peanut butter from Ghana","08-12-2020 11:49:29","United Kingdom","border rejection notification","not serious"
"2020.5605","fruits and vegetables","food","Rückstände von Pflanzenschutzmitteln in Weinblättern aus Ägypten /// Pesticide residues in vine leaves from Egypt ","07-12-2020 19:00:25","Germany","information notification for attention","undecided"
"2020.5604","nuts, nut products and seeds","food","Ochratoxin A in pistachios from USA","07-12-2020 18:50:42","Switzerland","information notification for attention","serious"
"2020.5603","fruits and vegetables","food","Pesticides residues in Grape Leaves","07-12-2020 18:36:05","Austria","information notification for attention","undecided"
"2020.5602","feed materials","feed","Salmonella Derby in dog chews from Germany","07-12-2020 17:36:30","Germany","alert notification","serious"
